;DayOfWeek;POS Total Units Sold Promo and Regular;Encoded_REST_KEY
1003;Sunday;42;Store1
1004;Sunday;28;Store2
1005;Sunday;19;Store3
1006;Sunday;26;Store4
1007;Monday;39;Store1
1008;Monday;46;Store2
1009;Monday;29;Store3
1010;Monday;43;Store4
1011;Tuesday;36;Store1
1012;Tuesday;49;Store2
1013;Tuesday;28;Store3
1014;Tuesday;24;Store4
1015;Wednesday;28;Store1
1016;Wednesday;48;Store2
1017;Wednesday;33;Store3
1018;Wednesday;33;Store4
1019;Thursday;36;Store1
1020;Thursday;48;Store2
1021;Thursday;33;Store3
1022;Thursday;46;Store4
1023;Friday;34;Store1
1024;Friday;42;Store2
1025;Friday;35;Store3
1026;Friday;40;Store4
1027;Saturday;77;Store1
1028;Saturday;35;Store2
1029;Saturday;58;Store3
1030;Saturday;43;Store4
1031;Sunday;49;Store1
1032;Sunday;41;Store2
1033;Sunday;69;Store3
1034;Sunday;46;Store4
1035;Monday;84;Store1
1036;Monday;104;Store2
1037;Monday;84;Store3
1038;Monday;77;Store4
1039;Tuesday;78;Store1
1040;Tuesday;139;Store2
1041;Tuesday;129;Store3
1042;Tuesday;87;Store4
1043;Wednesday;103;Store1
1044;Wednesday;119;Store2
1045;Wednesday;116;Store3
1046;Wednesday;98;Store4
1047;Thursday;118;Store1
1048;Thursday;137;Store2
1049;Thursday;102;Store3
1050;Thursday;129;Store4
1051;Friday;122;Store1
1052;Friday;111;Store2
1053;Friday;148;Store3
1054;Friday;126;Store4
1055;Saturday;118;Store1
1056;Saturday;67;Store2
